,prompt,A,B,C,D,answer,queries
98373,What requires soil to grow?,lakes,car engine,daffodils,cows,C,"what is the best possible answer for this question: What requires soil to grow?
 (A) car engine
 (B) car engine
 (C) daffodils
 (D) cows
"
94487,Why animal may use a rock as shelter,Centipede,Dolphin,Seagull,Dog,A,"what is the best possible answer for this question: Why animal may use a rock as shelter
 (A) Dolphin
 (B) Dolphin
 (C) Seagull
 (D) Dog
"
95445,Which is a pollinating creature?,hyenas,lions,honey makers,rhinos,C,"what is the best possible answer for this question: Which is a pollinating creature?
 (A) lions
 (B) lions
 (C) honey makers
 (D) rhinos
"
94823,A lever is used to move objects that are,hefty,light,short,round,A,"what is the best possible answer for this question: A lever is used to move objects that are
 (A) light
 (B) light
 (C) short
 (D) round
"
93389,Where does a landslide begin?,a low hill,a plain,a mountain,a basin,C,"what is the best possible answer for this question: Where does a landslide begin?
 (A) a plain
 (B) a plain
 (C) a mountain
 (D) a basin
"
95690,matter is made of what?,united atoms,sound,feelings,bonds of friendship,A,"what is the best possible answer for this question: matter is made of what?
 (A) sound
 (B) sound
 (C) feelings
 (D) bonds of friendship
"
97211,Hot tea works better than cold for dissolving,lemons,ice,nuts,rocks,B,"what is the best possible answer for this question: Hot tea works better than cold for dissolving
 (A) ice
 (B) ice
 (C) nuts
 (D) rocks
"
95593,A thing is on fire and afterwards it is,salty,silly,sweet,seared,D,"what is the best possible answer for this question: A thing is on fire and afterwards it is
 (A) silly
 (B) silly
 (C) sweet
 (D) seared
"
97443,You may need a raft after a,television broadcast,drought,meteor shower,deluge,D,"what is the best possible answer for this question: You may need a raft after a
 (A) drought
 (B) drought
 (C) meteor shower
 (D) deluge
"
94316,How many lizards live in desert habitats?,all,some,fifteen,none,B,"what is the best possible answer for this question: How many lizards live in desert habitats?
 (A) some
 (B) some
 (C) fifteen
 (D) none
"
95550,A consumer must locate it's own,tools,nutrition,soul,clothes,B,"what is the best possible answer for this question: A consumer must locate it's own
 (A) nutrition
 (B) nutrition
 (C) soul
 (D) clothes
"
97319,What could be a conductor of energy?,a nickel,carrots,wood,cotton,A,"what is the best possible answer for this question: What could be a conductor of energy?
 (A) carrots
 (B) carrots
 (C) wood
 (D) cotton
"
96159,The most popular plant in Italy is,Air,Basil,Apple Juice,Metal,B,"what is the best possible answer for this question: The most popular plant in Italy is
 (A) Basil
 (B) Basil
 (C) Apple Juice
 (D) Metal
"
93925,"If two hawks find a dead fox, they will",eat,battle,starve,fly,B,"what is the best possible answer for this question: If two hawks find a dead fox, they will
 (A) battle
 (B) battle
 (C) starve
 (D) fly
"
98391,Which likely needs the least food?,a cat,a snake,a shark,a dog,B,"what is the best possible answer for this question: Which likely needs the least food?
 (A) a snake
 (B) a snake
 (C) a shark
 (D) a dog
"
98333,It's wrong to,pet a dog,cuddle a dog,love a dog,stomp a puppy,D,"what is the best possible answer for this question: It's wrong to
 (A) cuddle a dog
 (B) cuddle a dog
 (C) love a dog
 (D) stomp a puppy
"
95548,Safety glasses should be worn around,water,bleach,air,computers,B,"what is the best possible answer for this question: Safety glasses should be worn around
 (A) bleach
 (B) bleach
 (C) air
 (D) computers
"
4327,Living things depend on energy from,the Sun,the Moon,soil,water,A,"what is the best possible answer for this question: Living things depend on energy from
 (A) the Moon
 (B) the Moon
 (C) soil
 (D) water
"
97348,Some Eagles might even consume,Love,Emotions,Sloths,Astroids,C,"what is the best possible answer for this question: Some Eagles might even consume
 (A) Emotions
 (B) Emotions
 (C) Sloths
 (D) Astroids
"
97473,Salt was at one time,currency,unrealistic,imaginary,a feeling,A,"what is the best possible answer for this question: Salt was at one time
 (A) unrealistic
 (B) unrealistic
 (C) imaginary
 (D) a feeling
"
94398,A seismometer can note how earthquakes are,small,fast,strong,long,C,"what is the best possible answer for this question: A seismometer can note how earthquakes are
 (A) fast
 (B) fast
 (C) strong
 (D) long
"
97056,a desert environment has low,sand count,cacti,dryness,wet sky falling,D,"what is the best possible answer for this question: a desert environment has low
 (A) cacti
 (B) cacti
 (C) dryness
 (D) wet sky falling
"
94192,An example of a mixture is,light,a molecule,terra cotta,gold,C,"what is the best possible answer for this question: An example of a mixture is
 (A) a molecule
 (B) a molecule
 (C) terra cotta
 (D) gold
"
93662,What doesn't eliminate waste?,plants,mushrooms,bacteria,robots,D,"what is the best possible answer for this question: What doesn't eliminate waste?
 (A) mushrooms
 (B) mushrooms
 (C) bacteria
 (D) robots
"
93947,Vegetables provide a lot of nutrients for,cats,dogs,humans,snakes,C,"what is the best possible answer for this question: Vegetables provide a lot of nutrients for
 (A) dogs
 (B) dogs
 (C) humans
 (D) snakes
"
95306,Some animals may use coloration for,eating,smells,love,protection,D,"what is the best possible answer for this question: Some animals may use coloration for
 (A) smells
 (B) smells
 (C) love
 (D) protection
"
2098,Which gas is given off by plants?,Hydrogen,Nitrogen,Oxygen,Helium,C,"what is the best possible answer for this question: Which gas is given off by plants?
 (A) Nitrogen
 (B) Nitrogen
 (C) Oxygen
 (D) Helium
"
92923,A light-year is a measure of,time.,energy.,distance.,direction.,C,"what is the best possible answer for this question: A light-year is a measure of
 (A) energy.
 (B) energy.
 (C) distance.
 (D) direction.
"
94016,An example of conservation is avoiding,oil,sunlight,fats,tea,A,"what is the best possible answer for this question: An example of conservation is avoiding
 (A) sunlight
 (B) sunlight
 (C) fats
 (D) tea
"
95956,Which is a carnivore?,a cow,a caterpillar,a vegan,a shark,D,"what is the best possible answer for this question: Which is a carnivore?
 (A) a caterpillar
 (B) a caterpillar
 (C) a vegan
 (D) a shark
"
97775,As rain freezes in the mountains it splits,granite,trees,bears,cars,A,"what is the best possible answer for this question: As rain freezes in the mountains it splits
 (A) trees
 (B) trees
 (C) bears
 (D) cars
"
93696,One renewable fuel source is,vegetable oil,coal,fossil fuel,petroleum fuel,A,"what is the best possible answer for this question: One renewable fuel source is
 (A) coal
 (B) coal
 (C) fossil fuel
 (D) petroleum fuel
"
97708,Which is a source of kinetic energy?,Endurance,Motion,Velocity,Speed,B,"what is the best possible answer for this question: Which is a source of kinetic energy?
 (A) Motion
 (B) Motion
 (C) Velocity
 (D) Speed
"
96721,Sediment is a result of the process of,running,jumping,magic,rain,D,"what is the best possible answer for this question: Sediment is a result of the process of
 (A) jumping
 (B) jumping
 (C) magic
 (D) rain
"
98104,Sycamores have the worlds largest,trunk,friends,leaves,location,A,"what is the best possible answer for this question: Sycamores have the worlds largest
 (A) friends
 (B) friends
 (C) leaves
 (D) location
"
94000,Inanimate things may be pollinators such as,bees,birds,wind,deer,C,"what is the best possible answer for this question: Inanimate things may be pollinators such as
 (A) birds
 (B) birds
 (C) wind
 (D) deer
"
4295,Animals get energy for growth and repair from,soil,food,water,air,B,"what is the best possible answer for this question: Animals get energy for growth and repair from
 (A) food
 (B) food
 (C) water
 (D) air
"
96898,What raw material is consumed by chloroplast,flour,stone,CO2,lava,C,"what is the best possible answer for this question: What raw material is consumed by chloroplast
 (A) stone
 (B) stone
 (C) CO2
 (D) lava
"
97144,Organisms can be preserved in,Sandstone,Water pipes,Cars.,Trees,A,"what is the best possible answer for this question: Organisms can be preserved in
 (A) Water pipes
 (B) Water pipes
 (C) Cars.
 (D) Trees
"
96963,What can help you sleep soundly?,torture,anxiety,ear plugs,stress,C,"what is the best possible answer for this question: What can help you sleep soundly?
 (A) anxiety
 (B) anxiety
 (C) ear plugs
 (D) stress
"
96578,Which is likely water vapor?,a dog,a cat,a rat,puffy white fliers,D,"what is the best possible answer for this question: Which is likely water vapor?
 (A) a cat
 (B) a cat
 (C) a rat
 (D) puffy white fliers
"
93442,"Compared to Earth, the Moon is",drier.,larger.,heavier.,brighter.,A,"what is the best possible answer for this question: Compared to Earth, the Moon is
 (A) larger.
 (B) larger.
 (C) heavier.
 (D) brighter.
"
1681,Which is the best example of a pure substance?,peanuts,milk,gold,air,C,"what is the best possible answer for this question: Which is the best example of a pure substance?
 (A) milk
 (B) milk
 (C) gold
 (D) air
"
94966,seeds may grow when,ingested,roasted,left alone,placed underground,D,"what is the best possible answer for this question: seeds may grow when
 (A) roasted
 (B) roasted
 (C) left alone
 (D) placed underground
"
98042,Pollination is required for what reproduction?,elephant,bug,bird,flora,D,"what is the best possible answer for this question: Pollination is required for what reproduction?
 (A) bug
 (B) bug
 (C) bird
 (D) flora
"
2438,Which of these is a nonliving thing?,a mushroom,a tree,a worm,a river,D,"what is the best possible answer for this question: Which of these is a nonliving thing?
 (A) a tree
 (B) a tree
 (C) a worm
 (D) a river
"
94268,What causes orbits?,pulling down,sunlight,planetary pull,solar flares,C,"what is the best possible answer for this question: What causes orbits?
 (A) sunlight
 (B) sunlight
 (C) planetary pull
 (D) solar flares
"
93875,one inherited characteristic of fur is it's,value,hue,weight,length,B,"what is the best possible answer for this question: one inherited characteristic of fur is it's
 (A) hue
 (B) hue
 (C) weight
 (D) length
"
97249,the earth revolves around the sun in,a day,a year,a week,a month,B,"what is the best possible answer for this question: the earth revolves around the sun in
 (A) a year
 (B) a year
 (C) a week
 (D) a month
"
4229,Where is most of Earth's water located?,glaciers,lakes,oceans,rivers,C,"what is the best possible answer for this question: Where is most of Earth's water located?
 (A) lakes
 (B) lakes
 (C) oceans
 (D) rivers
"
94600,It would be unexpected to see a mouse with,eggs,ears,teeth,a tail,A,"what is the best possible answer for this question: It would be unexpected to see a mouse with
 (A) ears
 (B) ears
 (C) teeth
 (D) a tail
"
94788,A plant performs less photosynthesis in,September,March,December,June,C,"what is the best possible answer for this question: A plant performs less photosynthesis in
 (A) March
 (B) March
 (C) December
 (D) June
"
1124,Which is considered a nonrenewable resource?,oil,soil,food,water,A,"what is the best possible answer for this question: Which is considered a nonrenewable resource?
 (A) soil
 (B) soil
 (C) food
 (D) water
"
95795,Which of the following was made from sugar?,oxygen,meat,bread,flour,C,"what is the best possible answer for this question: Which of the following was made from sugar?
 (A) meat
 (B) meat
 (C) bread
 (D) flour
"
95203,what is an electrical energy conductor?,plastic,stone,plants,swords,D,"what is the best possible answer for this question: what is an electrical energy conductor?
 (A) stone
 (B) stone
 (C) plants
 (D) swords
"
4213,Most of Earth's surface is covered by,sand,trees,water,mountains,C,"what is the best possible answer for this question: Most of Earth's surface is covered by
 (A) trees
 (B) trees
 (C) water
 (D) mountains
"
96204,A stereo can run on converted energy through,wires,coins,AAAs,hope,C,"what is the best possible answer for this question: A stereo can run on converted energy through
 (A) coins
 (B) coins
 (C) AAAs
 (D) hope
"
95095,Which of these objects could combust,Seashells,Grass,A cat,A paint can,D,"what is the best possible answer for this question: Which of these objects could combust
 (A) Grass
 (B) Grass
 (C) A cat
 (D) A paint can
"
94079,It changes from winter to spring because of a,moon,cloud,star,sky,C,"what is the best possible answer for this question: It changes from winter to spring because of a
 (A) cloud
 (B) cloud
 (C) star
 (D) sky
"
